Facility ID,Facility Name,Address,City,State,Zip Code,Phone Number,County,Licensee,State Facility Type 2 Literal,State Facility Type 1 Literal,Date Accessed,License Number,Capacity,Email Address,Ownership Type,Latitude,Longitude,FIPS,Total County AL Need,Percent of Population 65 or Older,Median Age,Homeownership Rate,College Education or Higher Rate,Percent Black Population,Median Home Value of Owned Homes,Percent Hispanic Population,Percent of Population 85 or Older,Median Household Income,Unemployment Rate,Less Than High School Diploma Rate,Percent Whilte Population,Gender Ratio,Poverty Rate,Total Population,Population 85 years and over,Population 65 years and over
36793,Absolute Homes Inc,3045 CENTRAL AVENUE NORTH EAST,Minneapolis,MN,55418,612-229-9512,Hennepin,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,45.0235127,-93.2469505,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
35571,Access Minnesota Llc,335 37TH AVENUE NORTH,St. Cloud,MN,56303,612-501-0484,Stearns,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,45.5598401,-94.2037308,27145.0,4869.0,14.57,34.0,68.08,27.47,6.45,184900.0,3.37,2.09,62789.0,5.7,8.31,87.84,101.0,12.9,158292.0,3059.0,25436.0
37611,Access Minnesota Llc,1528 7TH STREET,St. Cloud,MN,56301,612-501-0484,Stearns,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,45.5529414,-94.1697394,27145.0,4869.0,14.57,34.0,68.08,27.47,6.45,184900.0,3.37,2.09,62789.0,5.7,8.31,87.84,101.0,12.9,158292.0,3059.0,25436.0
36916,Access Recovery Center Inc.,17365 FONTANA PATH,Farmington,MN,55024,763-400-1366,Dakota,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,44.6977133,-93.2011723,27037.0,14377.0,13.63,38.0,74.01,42.22,6.26,266000.0,7.14,1.56,86036.0,6.2,4.95,82.08,97.0,6.05,439882.0,7201.0,65206.0
35744,Accurate Homes Llc,13605 GRAND AVENUE,Burnsville,MN,55337,612-703-9332,Dakota,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.7566614,-93.2860492,27037.0,14377.0,13.63,38.0,74.01,42.22,6.26,266000.0,7.14,1.56,86036.0,6.2,4.95,82.08,97.0,6.05,439882.0,7201.0,65206.0
35375,Ace Homes Inc,3425 77TH AVENUE NORTH,Brooklyn Park,MN,55443,612-323-0315,Hennepin,,,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,45.0951669,-93.3250477,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
37570,Ace Homes Inc,5820 5TH STREET NORTHEAST,Fridley,MN,55432,612-702-3012,Anoka,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,45.0733283,-93.2608178,27003.0,13004.0,13.53,39.0,80.1,30.51,6.25,232400.0,4.57,1.34,82175.0,6.3,6.02,83.62,100.0,5.89,363887.0,4824.0,52036.0
28372,Adagio Manor Assisted Living,5230 CIRCLE DOWN,Golden Valley,MN,55416,763-229-1993,Hennepin,,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,44.9728384,-93.3465991,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
35359,Adams Health Care Services,10036 WASHBURN AVENUE SOUTH,Bloomington,MN,55431,612-501-1331,Hennepin,,,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.8211579,-93.317853,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
33762,Adapta,2020 5TH STREET SW,Rochester,MN,55902,507-282-0868,Olmsted,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,NONPROFIT CORPORATION,44.0174313,-92.4942309,27109.0,7704.0,15.08,37.0,72.74,44.9,6.18,214600.0,4.93,2.17,76951.0,5.4,5.4,83.73,96.0,8.43,162847.0,3450.0,25835.0
36552,Adapta,2509 55TH STREET NW,Rochester,MN,55901,507-282-0868,Olmsted,,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21,,,,NONPROFIT CORPORATION,44.0801035,-92.4994118,27109.0,7704.0,15.08,37.0,72.74,44.9,6.18,214600.0,4.93,2.17,76951.0,5.4,5.4,83.73,96.0,8.43,162847.0,3450.0,25835.0
36944,Adeg Group Home Llc,3229 2ND AVENUE SOUTH,Minneapolis,MN,55408,612-756-5533,Hennepin,,,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.9439381,-93.2737858,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
35883,Adequate Home Care Llc,5680 HADLEY AVENUE NORTH,Oakdale,MN,55128,651-367-9906,Washington,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,45.0317893,-92.9766928,27163.0,10408.0,14.42,40.0,81.13,44.27,4.59,289400.0,4.19,1.6,96671.0,5.6,3.94,85.38,98.0,4.29,267568.0,4797.0,42879.0
20147,Adith Miller Manor,885 MANKATO AVENUE,Winona,MN,55987,507-454-0179,Winona,,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21,,,,NONPROFIT CORPORATION,44.0339654,-91.6232723,27169.0,2383.0,16.42,35.0,70.43,30.07,1.28,167300.0,2.96,1.87,59329.0,4.9,6.53,93.55,98.0,12.9,49671.0,1136.0,9242.0
37564,Adna Homes Llc,7025 KNOX AVENUE NORTH,Brooklyn Center,MN,55430,704-252-4716,Hennepin,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,45.0830803,-93.3044217,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
35731,Adna Homes Llc,7733 ABBOTT AVENUE NORTH,Brooklyn Park,MN,55443,763-208-6626,Hennepin,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,45.0965596,-93.3250735,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
30740,Adrian Country Living Cottages,200 WEST 7TH STREET,Adrian,MN,56110,507-483-2511,Nobles,,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21,,,,CITY,43.6288887,-95.9350128,27105.0,1212.0,16.05,36.0,70.67,15.31,4.27,127100.0,27.82,3.04,55304.0,4.2,23.75,77.76,107.0,13.55,22290.0,532.0,3645.0
36624,Advance Group Home Inc,9118 BLAISDELL AVENUE SOUTH,Minneapolis,MN,55420,615-710-3715,Hennepin,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,44.8381393,-93.2805573,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
37673,Advanced One Care Center,515 16TH AVENUE NORTH,St. Cloud,MN,56302,612-703-0269,Stearns,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,45.5609365,-94.1754356,27145.0,4869.0,14.57,34.0,68.08,27.47,6.45,184900.0,3.37,2.09,62789.0,5.7,8.31,87.84,101.0,12.9,158292.0,3059.0,25436.0
35674,Advanced One Care Center,4618 CLINTON AVENUE SOUTH,Minneapolis,MN,55419,612-703-0264,Hennepin,,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,44.9191014,-93.2718601,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
36100,Advanced One Care Center Inc,4552 MANOR BROOK NW,Rochester,MN,55901,507-208-4863,Olmsted,,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,44.0271309,-92.5332955,27109.0,7704.0,15.08,37.0,72.74,44.9,6.18,214600.0,4.93,2.17,76951.0,5.4,5.4,83.73,96.0,8.43,162847.0,3450.0,25835.0
25520,Aeon,1822 PARK AVENUE,Minneapolis,MN,55404,612-871-5800,Hennepin,,,HOUSING WITH SERVICES,7/12/21,,,,NONPROFIT CORPORATION,44.9642989,-93.265598,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
35648,Affinity Residential Care Llc,9213 ELLIOT AVENUE SOUTH,Bloomington,MN,55420,612-386-0942,Hennepin,,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.8365414,-93.2615119,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
36233,Affinity Residential Care Llc,11021 OAK KNOLL TERRACE NORTH,Minnetonka,MN,55305,612-386-0942,Hennepin,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.9671332,-93.4190622,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
36407,Affinity Residential Care Llc,9230 13TH STREET,Bloomington,MN,55420,952-217-4750,Hennepin,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.8358562,-93.2570857,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
37017,Affinity Residential Care Llc,6604 4TH AVENUE SOUTH,Richfield,MN,55423,612-386-0942,Hennepin,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.8832097,-93.2707502,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
